Source,Destination,Weight
wednesdayben ali,TUNISIA,1.0
zhang guihong,QATAR,2.0
ebrahim rasool,UNITED STATES,1.0
john evans atta mills,UNITED ARAB EMIRATES,1.0
gordon bick,UNITED STATES,1.0
babkr zebari,IRAQ,1.0
dwight d ike eisenhower,UNITED STATES,2.0
claire spencer,EGYPT,1.0
altynbek sulaymanov,KYRGYZSTAN,1.0
ras laffan,QATAR,2.0
john haynes,WASHINGTON USA,1.0
shaykh maghbash,SAUDI ARABIA,1.0
larry elliottpoints,UNITED KINGDOM,1.0
srecko katanecsaid,UNITED ARAB EMIRATES,1.0
neal palmer,TAMPA FL USA,2.0
pim verbeek,AUSTRALIA,29.0
sue carter,SCOTLAND,1.0
sebastian vittel,ENGLAND,1.0
evarist mapunda,RWANDA,1.0
harry redknapp,ENGLAND,4.0
killian brennan,LIBYAN ARAB JAMAHIRIYA,2.0
chelsea barracksfrom,QATAR,1.0
justin tuck,COTE D'IVOIRE,2.0
anna espositowonders,AUSTRALIA,1.0
rafik hariri saad hariri,ISRAEL,11.0
faisal makdad,SUDAN,1.0
jamie dimon,SCOTLAND,1.0
sarah nitta,ISRAEL,1.0
baba ganoush,EGYPT,1.0
paul carbray,GERMANY,1.0
william pitt,SCOTLAND,2.0
nick dougherty,BAHRAIN,1.0
harold gordon,VICTORIA AUSTRALIA,1.0
todd hamilton,BAHRAIN,4.0
winifred thomas,TUNISIA,4.0
muhand neirukh,PALESTINIAN TERRITORY OCCUPIED,1.0
kauto star,UNITED ARAB EMIRATES,3.0
johnny vegasand,KOREA DEMOCRATIC PEOPLE'S REPUBLIC OF,1.0
nusaif al-khatab,IRAQ,1.0
rashid bin-al-hassan,JORDAN,1.0
michael lynchsection,IRAN ISLAMIC REPUBLIC OF,1.0
linda pearcesection,AUSTRALIA,1.0
christina zaba,LONDON ENGLAND,1.0
lebanesepremier rafiq al-hariri,IRAN ISLAMIC REPUBLIC OF,2.0
richard young,AFGHANISTAN,1.0
saran kabba,AFRICA,1.0
robert maxwell,NEW ZEALAND,1.0
muhammad madani,TUNISIA,1.0
tom saintfiet,UNITED STATES,1.0
karoui mizouri,TUNISIA,1.0
ayub kizza,SWAZILAND,2.0
jared lee loughner,UNITED STATES,7.0
mike tysonis,MOROCCO,1.0
john bolton,IRAN ISLAMIC REPUBLIC OF,1.0
mahesh parasuraman,NORTH AMERICA,1.0
carlos tevez,ARGENTINA,1.0
nicole feenstra,CHILE,1.0
hugo rodallega,ASIA,1.0
mohamed al sabry,SAUDI ARABIA,1.0
yasser al qahtani,JAPAN,1.0
baptistajulio baptista,BRAZIL,1.0
koo ja-cheoldoubled,KOREA REPUBLIC OF,1.0
mohammed bing hammam,QATAR,11.0
dermot whelan,UNITED ARAB EMIRATES,1.0
janine yaqoob,TUNISIA,1.0
al jezeera,COTE D'IVOIRE,1.0
joan collins,IRELAND,2.0
carlos tevez ihave,UNITED ARAB EMIRATES,2.0
aaron ramsey,MANCHESTER ENGLAND,1.0
lady elizabeth glamisc,LONDON ENGLAND,1.0
ben redwood,MELBOURNE AUSTRALIA,1.0
muhammad bouazizi,EGYPT,14.0
niyaz abdallah,IRAQ,1.0
ali al-dabbaghsaid,UNITED STATES,1.0
sarah wetherbee,TURKEY,1.0
philippe starck,CANADA,1.0
wathiq wajih,ISRAEL,1.0
nick owenssection,IRAQ,1.0
muhammad abu hammur,JORDAN,3.0
datuk jebasingam issace john,MALAYSIA,2.0
jalal al-talabani,IRAQ,1.0
yanina wickmayer,QATAR,2.0
ninawagovernor durayd kashmulah,IRAQ,1.0
queen elizabeth ii,ALGERIA,1.0
ezzat ibrahim,EGYPT,1.0
haile menkerios,SUDAN,3.0
sankar narayanas,CHINA,1.0
maxi rodriguez,LIVERPOOL ENGLAND,1.0
ayman al-zawahiri,EGYPT,10.0
mark barrett,SAUDI ARABIA,1.0
jimmy carr,UNITED KINGDOM,2.0
denzel washington,DUBAI UNITED ARAB EMIRATES,3.0
khan al wazir,SYRIA,1.0
fernando verdasco,AUSTRALIA,3.0
brian france,UNITED STATES,1.0
andy coulsonresignsvideo tony blair,PALESTINIAN TERRITORY OCCUPIED,7.0
tehran soufiane mimouni,IRAN ISLAMIC REPUBLIC OF,1.0
michael teague,CALIFORNIA USA,1.0
abu dhabi golf martin,IRELAND,5.0
holden racingteam,AUSTRALIA,1.0
dahlia ashour,EGYPT,1.0
slobodan milosevicand saddam hussein,SCOTLAND,1.0
tom phillips,UNITED KINGDOM,1.0
ben alioverthrew,TUNISIA,1.0
laura pitelsection,TUNISIA,1.0
hisham kassem,TUNISIA,2.0
abul-qasim al-shabi,LEBANON,1.0
la maison arabe,MOROCCO,1.0
mervyn doobovjerusalemsir,PALESTINIAN TERRITORY OCCUPIED,1.0
dick emperado,PHILIPPINES,1.0
muhammad abdel hadi,PALESTINIAN TERRITORY OCCUPIED,1.0
umaru musa yar,GHANA,4.0
baby logan,MOROCCO,1.0
riley brace,CANADA,1.0
genadijs seibutis,LATVIA,1.0
wanda alameda,TAMPA FL USA,1.0
zlatan ibrahimovic,BRAZIL,3.0
mike nasanu,NIGERIA,4.0
brooklynite nellbryden,SCOTLAND,1.0
tracie bennett,LONDON ENGLAND,2.0
cpl reynolds,AFGHANISTAN,1.0
aase berg,IRAQ,2.0
nathan picklum,AUSTRALIA,1.0
karun chandhok,INDIA,2.0
port klang,MALAYSIA,1.0
lamborghini gallardo,UNITED STATES,2.0
eliezer schach,ISRAEL,1.0
william grimsley,UNITED STATES,1.0
ambassadoruthman nafi,SUDAN,1.0
dean boyd,UNITED STATES,1.0
hani shukrallah,EGYPT,5.0
orrin evans,UNITED STATES,1.0
ali abdallah saleh,MIDDLE EAST,2.0
christina romer,EGYPT,1.0
butnovak djokovic,AFRICA,1.0
craig gordon,DUBAI UNITED ARAB EMIRATES,1.0
demi moore,CARIBBEAN ISLANDS,1.0
shaun waterman,VIRGINIA USA,1.0
muhammad al-faysal,IRAQ,1.0
tsang pak kei,MALAYSIA,1.0
james vanpraagh,NIGERIA,1.0
brig-gen mahmud furayhat,JORDAN,1.0
judy zint,IRAQ,1.0
don jensen,AUSTRALIA,2.0
titus bramble,UNITED ARAB EMIRATES,1.0
rob mosbacher,UNITED STATES,1.0
charlie campbell,EGYPT,1.0
maia de la baume,ALGERIA,1.0
john nagl,SUDAN,1.0
john hurt,LONDON ENGLAND,1.0
jarmila groth,INDIA,1.0
stephen grant,AUSTRALIA,1.0
felicien forgueswhy,TUNISIA,1.0
ali akbar velayati,IRAN ISLAMIC REPUBLIC OF,1.0
sebastian vittel,ALPS,1.0
nicholas seeley,IRAQ,1.0
peter hansonand edoardo molinari,LONDON ENGLAND,1.0
ahmad al-khafaji,IRAQ,2.0
nozad abdulah,IRAQ,1.0
scott burnssection,UNITED ARAB EMIRATES,1.0
bob beadman,AUSTRALIA,1.0
elin hafthomas,WALES,1.0
simon colosimo,VICTORIA AUSTRALIA,1.0
sadie maskery,MOROCCO,1.0
brian williamssection,QUEENSLAND AUSTRALIA,1.0
melanie dujonco,PHILIPPINES,1.0
peter jones,AZERBAIJAN,2.0
john mccririck,GERMANY,1.0
doug mcmillonand,SAUDI ARABIA,1.0
shaykh hamad bin-khalifah al thani,PALESTINIAN TERRITORY OCCUPIED,2.0
cai runguo,CHINA,1.0
ministeromar zakhilwal,AFGHANISTAN,1.0
michel sulayman,UNITED STATES,3.0
terence wogan,UNITED KINGDOM,1.0
frances kristina mladenovic,FRANCE,1.0
mohammad mehdishamseddine,LEBANON,1.0
karim kamal,EGYPT,1.0
christophe ena associated,TUNISIA,2.0
nafei ali nafei,SUDAN,1.0
james murdoch,UNITED KINGDOM,3.0
michael thwaite,QUEENSLAND AUSTRALIA,1.0
james way,SLOVAKIA,1.0
stephen jones,UNITED STATES,1.0
andrew miller,VICTORIA AUSTRALIA,1.0
hamid ansari,INDIA,1.0
ahmed karami,LEBANON,1.0
mohammed saher,EGYPT,1.0
jean luc ndayishimiye,TUNISIA,1.0
tom delay,POLAND,1.0
baz luhrmann,UNITED KINGDOM,1.0
jimmy mukubya,EGYPT,9.0
aaron wilbraham,UNITED ARAB EMIRATES,1.0
kareem fahim,TUNISIA,1.0
scot andy murray,VICTORIA AUSTRALIA,1.0
katie zezimasection,UNITED STATES,1.0
saysjessica mathews,EUROPE,1.0
hashim atcha,SCOTLAND,1.0
robin gwyndaf,IRAQ,1.0
martin fletcher,CAIRO EGYPT,4.0
pini avivi,ISRAEL,1.0
mohammad mossadegh,TUNISIA,1.0
omar bongo ondimba,COTE D'IVOIRE,2.0
phil doherty,IRAQ,4.0
john paul iioct,ISRAEL,1.0
rui vieira,EGYPT,3.0
cathy gannon,DUBAI UNITED ARAB EMIRATES,1.0
abu dhabiwith rafael nadal,UNITED STATES,8.0
al-amin abdel-razik,SUDAN,1.0
peter agalla,SUDAN,1.0
miguel angel jimenez,EUROPE,1.0
tim neale,UNITED STATES,2.0
danie meintjies,UNITED ARAB EMIRATES,4.0
